database_name,table_name,partition_name,metric_name,old_value,new_value,diff_value,compare_date
gmall,ads_page_path,,num_rows,9645,9645,0,20260401
gmall,dim_date,,num_rows,511525,511525,0,20260401
gmall,dwd_trade_flow_inc,,num_rows,,,0,20260401
gmall,dwd_traffic_page_view_inc,dt,num_rows,2621971595662,2621971595662,0,20260401
gmall,dwd_traffic_action_inc,dt,num_rows,12390906864,12390906864,0,20260401
gmall,dwd_trade_action_inc,,num_rows,,,0,20260401
validation_db,metrics_summary,,num_rows,342,342,0,20260401
gmall,dim_sku_full,dt,num_rows,122424,122424,0,20260401
gmall,dwd_trade_pv_inc,,num_rows,,,0,20260401
gmall,dwd_user_action_path_mid,,num_rows,,,0,20260401
default,student,,num_rows,0,0,0,20260401
gmall,ods_log_inc,dt,num_rows,0,0,0,20260401
gmall,tmp_dim_date_info,,num_rows,,,0,20260401
validation_db,test_table,,num_rows,0,0,0,20260401
gmall,dim_province_full,dt,num_rows,21012,21012,0,20260401
gmall,dwd_trade_display_inc,,num_rows,,,0,20260401
